,Age,Fishing Experience,Province,Fishing Role,Experience as Head of Communities,Fishing Duration,Number of Experience with Disaster,Level of Interaction with Disaster,Wn-1,Wn-10,Wn-11,Wn-12,Wn-13,Wn-14,Wn-15,Wn-16,Wn-17,Wn-2,Wn-3,Wn-4,Wn-5,Wn-6,Wn-7,Wn-8,Wn-9,Number of LIK Combination,Usage Duration,Frequency of Usage (min) (in month),Frequency of Usage (max) (in month),Average Frequency of Usage (in month),Action Anticipation (Respon based on LIK codes)
1319,49,16,1,1,0,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,2.0,2.0,2,Wn-11: Be careful
1320,49,16,1,1,0,3,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,2.0,2.0,2,Wn-13: Be careful
1323,49,22,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,20,2.0,2.0,2,Wn-5: Be careful
1324,49,22,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,20,2.0,2.0,2,Wn-7: Adjust fishing time
1328,49,23,1,1,0,3,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1329,49,23,1,1,0,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,2.0,2.0,2,Wn-7: Adjust fishing time
1330,49,23,1,1,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,22,4.0,4.0,4,Wn-9: Be careful
1334,49,24,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,24,3.0,3.0,3,Wn-2: Be careful
1335,49,24,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,20,2.0,2.0,2,Wn-7: Be careful
1338,49,24,1,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,20,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1339,49,24,1,1,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,20,3.0,3.0,3,Wn-6: Be careful
1342,49,24,1,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,20,2.0,2.0,2,Wn-6: Adjust fishing time
1343,49,24,1,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,2.0,2.0,2,Wn-9: Adjust fishing time
1349,50,25,1,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1350,50,25,1,1,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2.0,2.0,2,Wn-6: Be careful
1352,50,25,1,3,0,3,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1353,50,25,1,3,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,20,4.0,4.0,4,Wn-8: Be careful
1358,50,25,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,4.0,4.0,4,Wn-9: Adjust fishing time
1359,50,25,1,3,1,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,25,4.0,4.0,4,Wn-13: Be careful
1362,50,25,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1363,50,25,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,3.0,3.0,3,Wn-6: Be careful
1365,50,25,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,25,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1366,50,25,1,2,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,3.0,3.0,3,Wn-7: Be careful
1369,50,26,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,4.0,4.0,4,Wn-3: No action
1370,50,26,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,3.0,3.0,3,Wn-6: No action
1371,50,26,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,4.0,4.0,4,Wn-9: No action
1372,50,26,1,2,0,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,4.0,4.0,4,Wn-13: No action
1376,51,25,1,2,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,4.0,4.0,4,Wn-8: Be careful
1377,51,25,1,2,0,3,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,3.0,3.0,3,Wn-11: Adjust fishing time
1380,51,25,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1381,51,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,25,2.0,2.0,2,Wn-7: Be careful
1382,51,25,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,4.0,4.0,4,Wn-9: Adjust fishing time
1387,51,25,1,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,4.0,4.0,4,Wn-4: Stay alert/retrieve fishing gear
1388,51,25,1,2,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,25,4.0,4.0,4,Wn-9: Adjust fishing time
1391,51,25,1,2,1,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,20,4.0,4.0,4,Wn-6: Be careful
1392,51,25,1,2,1,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,20,4.0,4.0,4,Wn-9: Adjust fishing time
1395,51,25,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,4.0,4.0,4,Wn-4: Stay alert/retrieve fishing gear
1396,51,25,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,25,4.0,4.0,4,Wn-8: Be careful
1399,51,25,1,1,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,25,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1400,51,25,1,1,0,3,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,25,3.0,3.0,3,Wn-13: Be careful
1409,52,25,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,21,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1410,52,25,1,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,2.0,2.0,2,Wn-3: Adjust fishing time
1411,52,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,18,4.0,4.0,4,Wn-8: Be careful
1416,52,25,1,3,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,4.0,4.0,4,Wn-8: Be careful
1417,52,25,1,3,1,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,4.0,4.0,4,Wn-9: Adjust fishing time
1420,52,25,1,1,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,23,3.0,3.0,3,Wn-4: Stay alert/retrieve fishing gear
1421,52,25,1,1,0,3,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,3.0,3.0,3,Wn-12: Be careful
1424,52,25,1,1,0,3,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,25,3.0,3.0,3,Wn-2: Stay alert/retrieve fishing gear
1425,52,25,1,1,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,25,3.0,3.0,3,Wn-6: Be careful
1428,52,25,1,3,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,25,2.0,2.0,2,Wn-7: Adjust fishing time
